WKT,name,description
"POLYGON ((46.682402 24.7164147, 46.6864113 24.7081623, 46.6998195 24.7130761, 46.6959633 24.7161028, 46.6925301 24.7210927, 46.682402 24.7164147))",Polygon 38,
"POLYGON ((46.7031564 24.7439291, 46.7088379 24.7329427, 46.7098679 24.7270178, 46.6925301 24.7210927, 46.6998195 24.7130761, 46.717385 24.7098033, 46.7205743 24.7020104, 46.7234291 24.6992606, 46.7232057 24.6935983, 46.731645 24.695362, 46.761773 24.714486, 46.7394745 24.7596056, 46.7031564 24.7439291))",Polygon 39,
"POLYGON ((46.614111 24.826576, 46.6813318 24.8540078, 46.6421972 24.9147706, 46.6205679 24.9066747, 46.5791084 24.8958459, 46.614111 24.826576))",Polygon 40,
"POLYGON ((46.5853504 24.610226, 46.6020874 24.614167, 46.6105054 24.608965, 46.6148544 24.601252, 46.6426584 24.61774, 46.6510004 24.617693, 46.6605307 24.6277267, 46.6695717 24.6269534, 46.6446005 24.6396578, 46.6487203 24.6605642, 46.652567 24.67546, 46.635466 24.686615, 46.638838 24.674585, 46.603709 24.657244, 46.578773 24.625182, 46.5853504 24.610226))",Polygon 41,
"POLYGON ((46.652567 24.67546, 46.6446005 24.6396578, 46.6736994 24.625265, 46.6841236 24.6252559, 46.6900834 24.626026, 46.6921124 24.62983, 46.7044484 24.63102, 46.7011426 24.6507715, 46.701744 24.6615516, 46.6907638 24.6744192, 46.688337 24.67957, 46.6759389 24.6754027, 46.652567 24.67546))",Polygon 42,
"POLYGON ((46.6895758 24.6788155, 46.6942106 24.6700802, 46.701744 24.6615516, 46.7011426 24.6507715, 46.7034105 24.6349844, 46.7173849 24.6416862, 46.715325 24.646835, 46.7175566 24.655884, 46.7185865 24.6742919, 46.717987 24.69246, 46.714313 24.689647, 46.699336 24.683961, 46.6895758 24.6788155))",Polygon 43,
"POLYGON ((46.717987 24.69246, 46.7175566 24.655884, 46.715325 24.646835, 46.7173849 24.6416862, 46.7391764 24.6527976, 46.7446791 24.6533878, 46.7448507 24.6579121, 46.7436491 24.6604082, 46.7372976 24.6700802, 46.731645 24.695362, 46.717987 24.69246))",Polygon 44,
"POLYGON ((46.731645 24.695362, 46.7372976 24.6700802, 46.7448507 24.6579121, 46.7446791 24.6533878, 46.755071 24.6537611, 46.784636 24.666917, 46.777563 24.679569, 46.770593 24.701562, 46.761773 24.714486, 46.731645 24.695362))",Polygon 45,
"POLYGON ((46.7034105 24.6349844, 46.7059344 24.603513, 46.7031384 24.598785, 46.70525 24.586138, 46.712604 24.585136, 46.723345 24.58743, 46.737238 24.594258, 46.7537259 24.6033515, 46.7430829 24.6205188, 46.7334699 24.644549, 46.72935 24.6470453, 46.7034105 24.6349844))",Polygon 46,
"POLYGON ((46.72935 24.6470453, 46.7334699 24.644549, 46.7430829 24.6205188, 46.7537259 24.6033515, 46.7597689 24.6072526, 46.765426 24.612441, 46.780205 24.625441, 46.795795 24.62801, 46.8043667 24.6309661, 46.784636 24.666917, 46.755071 24.6537611, 46.7391764 24.6527976, 46.72935 24.6470453))",Polygon 47,
"POLYGON ((46.8038839 24.630693, 46.806699 24.6242303, 46.811327 24.617982, 46.816918 24.615992, 46.839123 24.601753, 46.868312 24.586956, 46.8860306 24.5917958, 46.8880906 24.5971028, 46.8874039 24.6114617, 46.873671 24.6345574, 46.863028 24.6498481, 46.8567405 24.6598941, 46.852385 24.6520324, 46.8038839 24.630693))",Polygon 48,
"POLYGON ((46.614111 24.826576, 46.647185 24.760907, 46.722305 24.792593, 46.713786 24.810572, 46.713643 24.814301, 46.719819 24.826281, 46.7181056 24.826874, 46.701702 24.819263, 46.6813318 24.8540078, 46.614111 24.826576))",Polygon 49,
